id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
02N1lFEuRJKQqHhnPOGYom,Alle Vrouwen,23,213800,0,['Hans De Booij'],['7cdRThov7spzODFHbygauO'],1/1/1990,1990,0.795,0.546,4,-11.46,0,0.0327,0.21,2.06E-06,0.0459,0.967,111.84,4
02rL5rMK7s4LQ6BAjNF5iv,Radio Kriminal - Remasterizado 2008,46,278720,0,['Los Fabulosos Cadillacs'],['2FS22haX3FYbyOsUAkuYqZ'],18/6/1990,1990,0.791,0.701,2,-7.843,1,0.0678,0.0226,0.278,0.546,0.251,100.635,4
02ruJVWV6dM2enX1gmco8M,Con nombre de guerra,40,256547,0,['Heroes Del Silencio'],['3qAPxVwIQRBuz5ImPUxpZT'],19/11/1990,1990,0.306,0.657,7,-4.483,1,0.0337,0.117,0,0.231,0.431,186.494,3
02SX5bW6xq73bGkzgbvGPR,???? ??????????,25,210827,0,['Lea Shabat'],['2LSMcMEpfSvrJMulNAjRZe'],1/11/1990,1990,0.603,0.652,4,-12.118,1,0.0342,0.135,0,0.074,0.691,132.764,4
02te6LzJ0wIJl0xEuxXnFe,???????????????,6,167400,0,['?????????'],['56BzmGYCeN9GKOxKkWzwsy'],1/2/1990,1990,0.376,0.333,6,-12.705,1,0.0307,0.335,0.000849,0.125,0.379,131.236,3
034H2XKqR1FsdClV58xzAY,?????????,18,149107,0,['????????????'],['1gzulBzR78tn24xwk6R22N'],1/3/1990,1990,0.767,0.47,2,-10.357,0,0.071,0.614,0.803,0.0788,0.969,116.213,4
036ZNJdUd5hya7JBEkPudn,That Secret Place,37,374133,0,['Barry Harris'],['5IgSjABjN0VorY1Vo41ivX'],1/1/1990,1990,0.421,0.0378,8,-25.482,1,0.0423,0.992,0.877,0.114,0.0375,131.214,4
03BELBmoN7tbHBtxV6HF7j,Heroes - Single Version; 1990 Remaster,57,216987,0,['David Bowie'],['0oSGxfWSnnOXhD2fKuz2Gy'],12/3/1990,1990,0.506,0.767,7,-8.259,1,0.0298,0.0431,0.191,0.202,0.607,112.599,4
03dq93iK9Oyr869UIt275p,????????????,28,366800,0,"['Leslie Cheung', 'Anita Mui']","['2g0QLUYku8AuPVK2udRV7i', '06RD8CxzApXzuhHx54BhQL']",1/1/1990,1990,0.492,0.999,5,-2.125,0,0.185,0.035,0.000653,0.292,0.323,133.999,4
03dSPyRXS1Lim8RJrDTay2,073 - Herr der Schlangeninsel - Teil 12,28,108000,0,['TKKG Retro-Archiv'],['0i38tQX5j4gZ0KS3eCMoIl'],1/7/1990,1990,0.552,0.752,8,-9.29,1,0.509,0.133,0,0.689,0.516,93.937,3
